rank_test_f1,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,mean_train_accuracy,std_train_accuracy,mean_train_f1,std_train_f1,mean_train_recall,std_train_recall,mean_train_precision,std_train_precision,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_f1,std_test_f1,mean_test_recall,std_test_recall,rank_test_recall,mean_test_precision,std_test_precision,rank_test_precision
1,0.80260009765625,0.060587012953950456,0.18510046005249023,0.04545585796791094,"{'RFC__min_samples_split': 56, 'RFC__max_features': 'log2', 'RFC__max_depth': 2204, 'RFC__class_weight': 'balanced', 'RFC__ccp_alpha': 0.001}",0.8659566351227556,0.002891725250356965,0.6204088901501033,0.005324410588113956,0.959840425531915,0.003191489361702147,0.45834944862848026,0.005599728361932451,0.856759789791383,0.012731572549740775,1,0.5887302857547501,0.02605278280490356,0.8968085106382979,0.03946220636381151,3,0.4386866539975604,0.024089674267611556,1
2,1.0585995197296143,0.1805956311985036,0.24399938583374023,0.03653453647402098,"{'RFC__min_samples_split': 88, 'RFC__max_features': 'sqrt', 'RFC__max_depth': 4179, 'RFC__class_weight': 'balanced', 'RFC__ccp_alpha': 0.001}",0.861495753739695,0.0055741263593942,0.6132226673252684,0.01042405896838091,0.9617021276595745,0.00602967236635883,0.4501744285022542,0.010309866988260481,0.8525111117005914,0.011485726107189382,2,0.5833155222685056,0.021367967935558924,0.9031914893617022,0.0326857265866749,1,0.43118661814344694,0.020738989468997965,2
3,1.0141011714935302,0.16067826318648787,0.23189992904663087,0.050829521770962734,"{'RFC__min_samples_split': 80, 'RFC__max_features': 'log2', 'RFC__max_depth': 790, 'RFC__class_weight': 'balanced_subsample', 'RFC__ccp_alpha': 0.001}",0.8621328297727002,0.0012572951187619003,0.6133954265684802,0.002388494919149617,0.9585106382978722,0.007006350995914602,0.45102103156384565,0.002273746054138392,0.852025159012267,0.01235195995690254,3,0.580415591596556,0.0225633481267125,0.8946808510638299,0.021645733988697683,4,0.4299135816997035,0.022926507136593808,3
4,1.0330996990203858,0.06958792160799626,0.24080052375793456,0.03960346965413623,"{'RFC__min_samples_split': 47, 'RFC__max_features': 'auto', 'RFC__max_depth': 400, 'RFC__class_weight': 'balanced', 'RFC__ccp_alpha': 0.01}",0.8443492056694776,0.0025107372445658015,0.5692887034007266,0.003989662442467404,0.901595744680851,0.019196896204913376,0.4160564788845044,0.003395266862558392,0.8420733342765014,0.009110490251005066,4,0.5629886489773727,0.01566659434859389,0.8904255319148936,0.016685518235487324,6,0.41179579471482536,0.015304050000079887,4
5,0.7823997020721436,0.23012477217688543,0.27300081253051756,0.06167655181864339,"{'RFC__min_samples_split': 16, 'RFC__max_features': 'auto', 'RFC__max_depth': 1731, 'RFC__class_weight': 'balanced_subsample', 'RFC__ccp_alpha': 0.01}",0.8449564898471704,0.003698181522225076,0.5731717732309327,0.002785605872897693,0.9122340425531915,0.01727700188182098,0.41797823592986083,0.0051959020904207365,0.8390372168284788,0.011970027343101366,6,0.5579358673417887,0.02399962396765544,0.8893617021276595,0.044933429961580604,7,0.40687471497022276,0.020526456901559915,5
6,1.2444994449615479,0.09544497462394644,0.3779001712799072,0.13983341814799305,"{'RFC__min_samples_split': 9, 'RFC__max_features': 'sqrt', 'RFC__max_depth': 2812, 'RFC__class_weight': 'balanced_subsample', 'RFC__ccp_alpha': 0.01}",0.8426499648092344,0.004531303576328327,0.5708373140524137,0.006859113805840255,0.9170212765957446,0.021052678114003506,0.4145268418631412,0.006942506409951154,0.8383092088587075,0.009748069368254075,7,0.5575081479123328,0.019997899162820448,0.8925531914893619,0.0455587512880082,5,0.4057335747312488,0.016432396967950513,7
7,1.1296993255615235,0.19304465724387976,0.22740206718444825,0.051642287925947536,"{'RFC__min_samples_split': 85, 'RFC__max_features': 'log2', 'RFC__max_depth': 509, 'RFC__class_weight': 'balanced_subsample', 'RFC__ccp_alpha': 0.01}",0.84465295826907,0.003085888494146845,0.5697318050417843,0.014588232503686986,0.9026595744680851,0.047033128861500274,0.4164739801298948,0.006840397146410422,0.8395226537216829,0.010126872980051962,5,0.5529422237004331,0.01322026082225574,0.8702127659574467,0.059193309545717276,9,0.40621511303936664,0.013498578237441706,6
8,1.035200262069702,0.3026742422428066,0.2538008213043213,0.07071010237978748,"{'RFC__min_samples_split': 18, 'RFC__max_features': 'auto', 'RFC__max_depth': 4186, 'RFC__class_weight': 'balanced_subsample', 'RFC__ccp_alpha': 0.1}",0.8087534272720722,0.04071743194340716,0.5035749978709175,0.04504155968431061,0.836968085106383,0.07817339492474829,0.3633377215632869,0.04415927242876606,0.8073492699288497,0.04811074470016082,8,0.4982373086808166,0.06663862516989695,0.825531914893617,0.11995358993897821,10,0.36058509304317016,0.05529939582411439,8
9,1.1368982791900635,0.10119609481010668,0.24610037803649903,0.04478580709145573,"{'RFC__min_samples_split': 64, 'RFC__max_features': 'sqrt', 'RFC__max_depth': 1588, 'RFC__class_weight': 'balanced', 'RFC__ccp_alpha': 0.1}",0.7881781267461561,0.03391582494993837,0.49727147171457825,0.04587849379162088,0.9074468085106382,0.03492660285718473,0.34312665440437673,0.03867677971794314,0.7807641578392015,0.03503177783268306,9,0.4868370350456058,0.03848418913492636,0.901063829787234,0.031306253126727995,2,0.3344124065881113,0.033649465125927105,9
10,1.1621003150939941,0.12112851743966771,0.27250032424926757,0.09705414784315562,"{'RFC__min_samples_split': 63, 'RFC__max_features': 'log2', 'RFC__max_depth': 2698, 'RFC__class_weight': 'balanced', 'RFC__ccp_alpha': 0.1}",0.7683631217351845,0.0423309274786091,0.47113685647426495,0.05750942025634096,0.8893617021276595,0.048826194648352875,0.3211814181602892,0.04660391261863103,0.7621854386616442,0.048615482352284564,10,0.46500826134945183,0.05754090105784118,0.8861702127659574,0.032372604371708365,8,0.3164691615632103,0.04873255265097913,10
